### CMD: docker exec pw-control-plane sh -lc ctr -n k8s.io images ls || true
### DATE: 2026-02-19T10:02:09+01:00

REF                                                                                                                        TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                                                           LABELS                                                          
docker.io/library/playwright-wrapper:fix-shlc-20260218-115632                                                              application/vnd.oci.image.manifest.v1+json                sha256:6272cdbdcf2257641412cef81cfd647258d60eda72db6d628ef93b717f364a1e 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:fix-ulimit-20260218-113438                                                            application/vnd.oci.image.manifest.v1+json                sha256:cafe1e9704c373887e5477908e3dee0cf6e5f1a3e590dcea182bffc28ee57c56 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:force-host-localhost-20260218-151236                                                  application/vnd.oci.image.manifest.v1+json                sha256:411e2b1d0b9e4c6179c6ca25be507ffb5cad5a29038f2bbc5955c23ba7b1ddf0 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local                                                                                 application/vnd.oci.image.manifest.v1+json                sha256:d1424ff83a948158d43addef93bbf9405e1d86b7c53e27fdd0c163a3838068aa 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-194344                                                                 application/vnd.oci.image.manifest.v1+json                sha256:47dcb81651422f1c11992a18ac36627ac47a164c01d7e9458ca7f44f973e4f4b 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-195016                                                                 application/vnd.oci.image.manifest.v1+json                sha256:47dcb81651422f1c11992a18ac36627ac47a164c01d7e9458ca7f44f973e4f4b 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-195143                                                                 application/vnd.oci.image.manifest.v1+json                sha256:47dcb81651422f1c11992a18ac36627ac47a164c01d7e9458ca7f44f973e4f4b 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-195543                                                                 application/vnd.oci.image.manifest.v1+json                sha256:7094f2374a9d70a8a12ab4fc4633052a89d18a14229d880fa9a0d9cf88a68851 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-195832                                                                 application/vnd.oci.image.manifest.v1+json                sha256:7094f2374a9d70a8a12ab4fc4633052a89d18a14229d880fa9a0d9cf88a68851 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-200452                                                                 application/vnd.oci.image.manifest.v1+json                sha256:09d032d355f579fd89f1c91689378f1b753db0081efdbef6fea93a2d60659c87 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-201213                                                                 application/vnd.oci.image.manifest.v1+json                sha256:da24d4d565c8f2d9754dc7b00c4a7be94cf244f93167e3260833b1a9927ba61d 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
