48m         Normal    Started             pod/curltest-direct                            Container started
19m         Normal    Pulled              pod/pw-059c61eb2d17ab7b                        Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
19m         Normal    Started             pod/pw-059c61eb2d17ab7b                        Container started
14m         Normal    Created             pod/curltest-wrapip-1771410207                 Container created
14m         Normal    Pulled              pod/curltest-wrapip-1771410207                 Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
14m         Normal    Started             pod/curltest-wrapip-1771410207                 Container started
14m         Normal    Started             pod/curltest-health-1-1771410209               Container started
14m         Normal    Created             pod/curltest-health-1-1771410209               Container created
14m         Normal    Pulled              pod/curltest-health-1-1771410209               Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
14m         Normal    Started             pod/curltest-sessions-1771410211               Container started
14m         Normal    Started             pod/pw-dbc017fe3229751b                        Container started
14m         Normal    Created             pod/pw-dbc017fe3229751b                        Container created
14m         Normal    Pulled              pod/pw-dbc017fe3229751b                        Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
14m         Normal    Pulled              pod/curltest-sessions-1771410211               Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
14m         Normal    Created             pod/curltest-sessions-1771410211               Container created
10m         Normal    Created             pod/pw-871840ca5cd8c6d7                        Container created
10m         Normal    Pulled              pod/pw-871840ca5cd8c6d7                        Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
10m         Normal    Started             pod/pw-871840ca5cd8c6d7                        Container started
7m58s       Normal    Pulled              pod/curltest-health-1-1771410614               Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
7m58s       Normal    Created             pod/curltest-health-1-1771410614               Container created
7m58s       Normal    Started             pod/curltest-health-1-1771410614               Container started
7m55s       Normal    Created             pod/pw-71be73158482d68c                        Container created
7m55s       Normal    Pulled              pod/curltest-sessions-1771410616               Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
7m55s       Normal    Created             pod/curltest-sessions-1771410616               Container created
7m55s       Normal    Started             pod/curltest-sessions-1771410616               Container started
7m55s       Normal    Started             pod/pw-71be73158482d68c                        Container started
7m55s       Normal    Pulled              pod/pw-71be73158482d68c                        Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
6m53s       Normal    Started             pod/curltest-mcp-71be73158482d68c-1771410679   Container started
6m53s       Normal    Pulled              pod/curltest-mcp-71be73158482d68c-1771410679   Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
6m53s       Normal    Created             pod/curltest-mcp-71be73158482d68c-1771410679   Container created
3m28s       Normal    SuccessfulDelete    replicaset/playwright-wrapper-f8fc84764        Deleted pod: playwright-wrapper-f8fc84764-lj8px
3m28s       Normal    SuccessfulCreate    replicaset/playwright-wrapper-f8fc84764        Created pod: playwright-wrapper-f8fc84764-lj8px
3m28s       Normal    ScalingReplicaSet   deployment/playwright-wrapper                  Scaled down replica set playwright-wrapper-f8fc84764 from 1 to 0
3m28s       Normal    ScalingReplicaSet   deployment/playwright-wrapper                  Scaled up replica set playwright-wrapper-5f584d5897 from 0 to 1
3m28s       Normal    ScalingReplicaSet   deployment/playwright-wrapper                  Scaled up replica set playwright-wrapper-f8fc84764 from 0 to 1
3m28s       Normal    SuccessfulCreate    replicaset/playwright-wrapper-5f584d5897       Created pod: playwright-wrapper-5f584d5897-ccpsg
3m27s       Normal    Pulled              pod/playwright-wrapper-5f584d5897-ccpsg        Container image "playwright-wrapper:fix-ulimit-20260218-113438" already present on machine and can be accessed by the pod
3m27s       Normal    Created             pod/playwright-wrapper-5f584d5897-ccpsg        Container created
3m27s       Normal    Started             pod/playwright-wrapper-5f584d5897-ccpsg        Container started
3m17s       Normal    Pulled              pod/curltest-health-1771410895                 Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
3m17s       Normal    Started             pod/curltest-health-1771410895                 Container started
3m17s       Normal    Created             pod/curltest-health-1771410895                 Container created
3m17s       Normal    SuccessfulDelete    replicaset/playwright-wrapper-799fcf8fd6       Deleted pod: playwright-wrapper-799fcf8fd6-qm9tg
3m17s       Normal    Killing             pod/playwright-wrapper-799fcf8fd6-qm9tg        Stopping container wrapper
93s         Warning   Failed              pod/n8n-prod-c945f7c6f-vkfm8                   Error: ImagePullBackOff
93s         Normal    BackOff             pod/n8n-prod-c945f7c6f-vkfm8                   Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
91s         Warning   Failed              pod/n8n-prod-webhook-7b8644d8b5-mvxbz          Error: ImagePullBackOff
91s         Normal    BackOff             pod/n8n-prod-worker-c94d9949c-b6ws5            Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
91s         Warning   Failed              pod/n8n-prod-worker-c94d9949c-b6ws5            Error: ImagePullBackOff
91s         Normal    BackOff             pod/n8n-prod-webhook-7b8644d8b5-mvxbz          Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
7s          Normal    Pulled              pod/curltest-dns-1-1771411085                  Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
7s          Normal    Created             pod/curltest-dns-1-1771411085                  Container created
6s          Normal    Started             pod/curltest-dns-1-1771411085                  Container started
4s          Normal    Started             pod/curltest-cip-1771411087                    Container started
4s          Normal    Created             pod/curltest-cip-1771411087                    Container created
4s          Normal    Pulled              pod/curltest-cip-1771411087                    Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
2s          Normal    Started             pod/curltest-podip-1771411089                  Container started
2s          Normal    Created             pod/curltest-podip-1771411089                  Container created
2s          Normal    Pulled              pod/curltest-podip-1771411089                  Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
